42 0
34 12
18 3
1 15
12 -10
99 30
17 -2
1 -21
8 -10
38 9
19 -30
19 10
71 -16
32 -18
59 25
31 -23
29 -14
30 -23
23 30
12 -23
35 3
14 1
45 -9
39 7
33 13
62 -8
34 24
41 6
1 -30
53 9
30 14
33 -1
1 -3
17 27
26 14
32 -4
62 -1
1 13
20 -26
12 -3
19 -10
36 -29
35 21
1 -9
21 -17
23 -7
1 -26
54 -2
35 3
1 13
1 30
1 10
41 -24
19 30
63 -3
1 30
24 -13
13 17
20 -3
33 -9
26 -30
24 -7
47 7
1 6
1 29
2 13
13 5
60 4
56 -2
57 20
50 -9
32 -5
9 10
2 4
4 -10
31 15
27 -15
16 -26
22 20
18 -3
38 18
24 14
1 10
39 15
20 -11
1 26
31 -26
16 8
44 30
17 14
22 -16
32 -15
2 6
24 2
65 30
32 22
54 10
52 -7
41 -30
21 -19
